Work setting,Occupation,2017 NAICS Code,2017 NAICS Title
Healthcare,Nursing,623,Nursing and Residential Care Facilities
Healthcare,Nursing practitioner,623,Nursing and Residential Care Facilities
Healthcare,Pharmacy,622,Hospitals
Healthcare,Physician,622,Hospitals
Healthcare,Physician assistant,622,Hospitals
Healthcare,Lab technician,622,Hospitals
Healthcare,Veterinary,622,Hospitals
Healthcare,Phlebotomy,622,Hospitals
Healthcare,Personal or home health care aide,622,Hospitals
Healthcare,Healthcare social worker,622,Hospitals
Healthcare,"Child, family, and school social worker",624,Social Assistance
Healthcare,Social and human service assistance,624,Social Assistance
Healthcare,Mental health counselor,624,Social Assistance
Healthcare,Janitor or maintenance,811,Repair and Maintenance
Healthcare,Administrative staff,561,Administrative and Support Services
Healthcare,Other,622,Hospitals
,,,
,,,
Dental,Dentist,622,Hospitals
Dental,Oral surgeon,622,Hospitals
Dental,Orthodontist,622,Hospitals
Dental,Prosthodontist,622,Hospitals
Dental,Dental hygienist,622,Hospitals
Dental,Dental assistant,622,Hospitals
Dental,Janitor or maintenance,811,Repair and Maintenance
Dental,Administrative staff,561,Administrative and Support Services
Dental,Other,622,Hospitals
,,,
,,,
Childcare,Childcare worker,812,Personal and Laundry Services
Childcare,Social worker or counselor,624,Social Assistance
Childcare,Nanny,812,Personal and Laundry Services
Childcare,Babysitter,812,Personal and Laundry Services
Childcare,Janitor or maintenance,811,Repair and Maintenance
Childcare,Administrative staff,561,Administrative and Support Services
Childcare,Other,812,Personal and Laundry Services
,,,
,,,
"Congregate Living (Nursing home, Assisted living, Group Home)",Resident,623,Nursing and Residential Care Facilities
"Congregate Living (Nursing home, Assisted living, Group Home)",Home health aide,623,Nursing and Residential Care Facilities
"Congregate Living (Nursing home, Assisted living, Group Home)",Housekeeper / cleaner,623,Nursing and Residential Care Facilities
"Congregate Living (Nursing home, Assisted living, Group Home)",Orderly,623,Nursing and Residential Care Facilities
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,623,Nursing and Residential Care Facilities
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician assistant,623,Nursing and Residential Care Facilities
"Congregate Living (Nursing home, Assisted living, Group Home)",Nursing,623,Nursing and Residential Care Facilities
"Congregate Living (Nursing home, Assisted living, Group Home)",Medical assistant,623,Nursing and Residential Care Facilities
"Congregate Living (Nursing home, Assisted living, Group Home)",Janitor or maintenance,811,Repair and Maintenance
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,561,Administrative and Support Services
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,623,Nursing and Residential Care Facilities
,,,
,,,
Faith-based organization,Clergy,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Faith-based organization,Choir / Music,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Faith-based organization,Religious education,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Faith-based organization,Religious activities,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Faith-based organization,Janitor or maintenance,811,Repair and Maintenance
Faith-based organization,Administrative staff,561,Administrative and Support Services
Faith-based organization,Other,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
,,,
,,,
Gym,Personal coach or trainer,713,"Amusement, Gambling, and Recreation Industries"
Gym,Group coach or instructor,713,"Amusement, Gambling, and Recreation Industries"
Gym,Locker room attendant,713,"Amusement, Gambling, and Recreation Industries"
