Work setting,Occupation,2019 O*NET SOC Code,2019 O*NET SOC Title
Healthcare,Nursing,29-1141.00,Registered Nurses
Healthcare,Nursing,29-1141.01,Acute Care Nurses
Healthcare,Nursing,29-1141.02,Advanced Practice Psychiatric Nurses
Healthcare,Nursing,29-1141.03,Critical Care Nurses
Healthcare,Nursing,29-1141.04,Clinical Nurse Specialists
Healthcare,Nursing,29-1151.00,Nurse Anesthetists
Healthcare,Nursing,29-1161.00,Nurse Midwives
Healthcare,Nursing,29-9099.01,Midwives
Healthcare,Nursing,29-2061.00,Licensed Practical and Licensed Vocational Nurses
Healthcare,Nursing,31-1131.00,Nursing Assistants
Healthcare,Nursing practitioner,29-1171.00,Nurse Practitioners
Healthcare,Pharmacy,29-1051.00,Pharmacists
Healthcare,Pharmacy,31-9095.00,Pharmacy Aides
Healthcare,Physician,29-1031.00,Dietitians and Nutritionists
Healthcare,Physician,29-1041.00,Optometrists
Healthcare,Physician,29-1181.00,Audiologists
Healthcare,Physician,29-1211.00,Anesthesiologists
Healthcare,Physician,29-1212.00,Cardiologists
Healthcare,Physician,29-1213.00,Dermatologists
Healthcare,Physician,29-1214.00,Emergency Medicine Physicians
Healthcare,Physician,29-1215.00,Family Medicine Physicians
Healthcare,Physician,29-1216.00,General Internal Medicine Physicians
Healthcare,Physician,29-1217.00,Neurologists
Healthcare,Physician,29-1218.00,Obstetricians and Gynecologists
Healthcare,Physician,29-1221.00,"Pediatricians, General"
Healthcare,Physician,29-1222.00,"Physicians, Pathologists"
Healthcare,Physician,29-1223.00,Psychiatrists
Healthcare,Physician,29-1224.00,Radiologists
Healthcare,Physician,29-1229.00,"Physicians, All Other"
Healthcare,Physician,29-1229.01,Allergists and Immunologists
Healthcare,Physician,29-1229.02,Hospitalists
Healthcare,Physician,29-1229.03,Urologists
Healthcare,Physician,29-1229.04,Physical Medicine and Rehabilitation Physicians
Healthcare,Physician,29-1229.05,Preventive Medicine Physicians
Healthcare,Physician,29-1229.06,Sports Medicine Physicians
Healthcare,Physician,29-1241.00,"Ophthalmologists, Except Pediatric"
Healthcare,Physician,29-1242.00,"Orthopedic Surgeons, Except Pediatric"
